module_code,os,format,current_name,function_name_locked,naming_status,naming_version
CV-01,MAXimo²,BOTTLE,OMEGA-3 EPA 180MG + DHA 120MG,Lipid Regulation Module,hero_locked,v1_hero
CV-02,MAXimo²,BOTTLE,BONE & HEART SUPPORT,Calcium Regulation Module,hero_locked,v1_hero
CV-03,MAXimo²,BOTTLE,NITRIC OXIDE,,legacy,
CV-03,MAXimo²,POUCH,NITRIC SHOCK PRE-WORKOUT POWDER (FRUIT PUNCH),,legacy,
CV-03,MAXimo²,BOTTLE,BEETROOT CAPSULES,,legacy,
CV-04,MAXimo²,JAR,COLON GENTLE CLEANSE,,legacy,
GL-01,MAXimo²,BOTTLE,BERBERINE,Glucose Regulation Module,hero_locked,v1_hero
GL-01,MAXimo²,DROPPER,NORMAL BLOOD SUGAR DROPS,Glucose Regulation Module,hero_locked,v1_hero
GL-02,MAXimo²,BOTTLE,COMPLETE MULTIVITAMIN,Insulin Sensitivity Module,hero_locked,v1_hero
GL-03,MAXimo²,BOTTLE,"VITAMIN D3 2,000 IU",,legacy,
GL-04,MAXimo²,STRIPS,IRON STRIPS,,legacy,
GL-05,MAXimo²,BOTTLE,FAT BURNER WITH MCT,,legacy,
GL-06,MAXimo²,BOTTLE,MORINGA PURE,,legacy,
GL-07,MAXimo²,BOTTLE,DIGESTIVE + GUT HEALTH STRIPS,,legacy,
GL-07,MAXimo²,BOTTLE,PROBIOTIC 20 BILLION,,legacy,
GL-07,MAXimo²,BOTTLE,PROBIOTIC 40 BILLION WITH PREBIOTICS,,legacy,
GL-07,MAXimo²,JAR,FERMENTED MUSHROOM BLEND,,legacy,
GL-08,MAXimo²,BOTTLE,COLOSTRUM CAPSULES,,legacy,
GL-08,MAXimo²,JAR,COLOSTRUM POWDER,,legacy,
GL-08,MAXimo²,STRIPS,DIGESTIVE + GUT HEALTH STRIPS,,legacy,
GL-09,MAXimo²,BOTTLE,DIGESTIVE ENZYME PRO BLEND,,legacy,
GL-10,MAXimo²,BOTTLE,DENTAL + ORAL HEALTH CHEWABLES,,legacy,
GL-11,MAXimo²,STRIPS,PROBIOTIC + METABOLISM STRIPS,,legacy,
GL-12,MAXimo²,POUCH,L-GLUTAMINE POWDER,,legacy,
GL-13,MAXimo²,BOTTLE,HAIR SKIN & NAILS GUMMIES,,legacy,
GL-13,MAXimo²,BOTTLE,HAIR SKIN AND NAILS ESSENTIALS,,legacy,
GL-13,MAXimo²,STRIPS,HAIR SKIN & NAILS STRIPS,,legacy,
GL-14,MAXimo²,STRIPS,BONE SUPPORT STRIPS,,legacy,
GL-15,MAXimo²,JAR,HYDRATION POWDER (LEMONADE),,legacy,
GL-15,MAXimo²,JAR,HYDRATION POWDER (LYCHEE),,legacy,
GL-15,MAXimo²,JAR,HYDRATION POWDER (MATCHA GREEN TEA),,legacy,
GL-15,MAXimo²,JAR,HYDRATION POWDER (PASSION FRUIT),,legacy,
GL-15,MAXimo²,JAR,HYDRATION POWDER (PEACH MANGO),,legacy,
MT-01,MAXimo²,BOTTLE,ALPHA ENERGY,Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (COTTON CANDY),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (FRUIT PUNCH),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (GUAVA BERRY),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (LYCHEE SPLASH ENERGY),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (STRAWBERRY SHORTCAKE),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,JAR,ENERGY POWDER (YUZU FLAVOR),Cellular Energy Module,hero_locked,v1_hero
MT-01,MAXimo²,STRIPS,ENERGY STRIPS,Cellular Energy Module,hero_locked,v1_hero
MT-02,MAXimo²,BOTTLE,FRUITS AND VEGGIES,,legacy,
MT-02,MAXimo²,JAR,BEE BREAD POWDER,,legacy,
MT-02,MAXimo²,BOTTLE,BEE PEARL,,legacy,
MT-03,MAXimo²,JAR,GREENS SUPERFOOD,,legacy,
MT-04,MAXimo²,POUCH,ULTRA CLEANSE SMOOTHIE GREENS,,legacy,
MT-04,MAXimo²,BOTTLE,MAX DETOX (ACAI DETOX),,legacy,
MT-05,MAXimo²,JAR,REDS SUPERFOOD,,legacy,
MT-06,MAXimo²,BOTTLE,NAD+,,legacy,
