sku,title,handle,shopify_store,environment,format,price,system,function_name,ingredient_name_label,ingredient_descriptor,net_quantity,suggested_use,contraindications
CV-01_MA_OMEGA-3_EPA_180MG_+_DHA_120MG,OMEGA-3 EPA 180MG + DHA 120MG (MAXima²),omega-3-epa-180mg--dha-120mg-maxima,maxima,MAXima²,BOTTLE,,CV,Lipid Metabolism,OMEGA-3 EPA 180MG + DHA 120MG,Omega-3 EPA + DHA,100 softgels,,
CV-02_MA_BONE_&_HEART_SUPPORT,BONE & HEART SUPPORT (MAXima²),bone--heart-support-maxima,maxima,MAXima²,BOTTLE,,CV,Vascular Calcium Regulation,BONE & HEART SUPPORT,Vitamin D3 + K2,0.25 lb (113 g),,
CV-03_MA_NITRIC_OXIDE,NITRIC OXIDE (MAXima²),nitric-oxide-maxima,maxima,MAXima²,BOTTLE,,CV,Nitric Oxide Signaling,NITRIC OXIDE,L-Citrulline + Beetroot,0.2 lb (90 g),,
CV-03_MA_NITRIC_SHOCK_PRE-WORKOUT_POWDER_(FRUIT_PUNCH),NITRIC SHOCK PRE-WORKOUT POWDER (FRUIT PUNCH) (MAXima²),nitric-shock-pre-workout-powder-fruit-punch-maxima,maxima,MAXima²,POUCH,,CV,Nitric Oxide Signaling,NITRIC SHOCK PRE-WORKOUT POWDER (FRUIT PUNCH),L-Citrulline + Beetroot,1 lb (454 g),,
CV-03_MA_BEETROOT_CAPSULES,BEETROOT CAPSULES (MAXima²),beetroot-capsules-maxima,maxima,MAXima²,BOTTLE,,CV,Nitric Oxide Signaling,BEETROOT CAPSULES,L-Citrulline + Beetroot,60 capsules,,
CV-04_MA_COLON_GENTLE_CLEANSE,COLON GENTLE CLEANSE (MAXima²),colon-gentle-cleanse-maxima,maxima,MAXima²,JAR,,CV,Gut Motility,COLON GENTLE CLEANSE,Psyllium Fiber Blend,0.20 lb (90 g),,
GL-01_MA_BERBERINE,BERBERINE (MAXima²),berberine-maxima,maxima,MAXima²,BOTTLE,,GL,Insulin Sensitivity,BERBERINE,Berberine HCl,0.2 lb (90 g),,
GL-01_MA_NORMAL_BLOOD_SUGAR_DROPS,NORMAL BLOOD SUGAR DROPS (MAXima²),normal-blood-sugar-drops-maxima,maxima,MAXima²,DROPPER,,GL,Insulin Sensitivity,NORMAL BLOOD SUGAR DROPS,Berberine HCl,2.7 oz (75 g),,
GL-02_MA_COMPLETE_MULTIVITAMIN,COMPLETE MULTIVITAMIN (MAXima²),complete-multivitamin-maxima,maxima,MAXima²,BOTTLE,,GL,Micronutrient Sufficiency,COMPLETE MULTIVITAMIN,Complete Multivitamin,60 caps,,
"GL-03_MA_VITAMIN_D3_2,000_IU","VITAMIN D3 2,000 IU (MAXima²)","vitamin-d3-2,000-iu-maxima",maxima,MAXima²,BOTTLE,,GL,Vitamin D Sufficiency,"VITAMIN D3 2,000 IU",Vitamin D3 2000 IU,100 softgels,,
GL-04_MA_IRON_STRIPS,IRON STRIPS (MAXima²),iron-strips-maxima,maxima,MAXima²,STRIPS,,GL,Iron Status Optimization,IRON STRIPS,Elemental Iron,2 oz (60 g),,
GL-05_MA_FAT_BURNER_WITH_MCT,FAT BURNER WITH MCT (MAXima²),fat-burner-with-mct-maxima,maxima,MAXima²,BOTTLE,,GL,Metabolic Flexibility,FAT BURNER WITH MCT,MCT + Thermogenic Blend,90 capsules,,
GL-06_MA_MORINGA_PURE,MORINGA PURE (MAXima²),moringa-pure-maxima,maxima,MAXima²,BOTTLE,,GL,Micronutrient Density,MORINGA PURE,Moringa Leaf Extract,0.25 lb (113 g),,
GL-07_MA_DIGESTIVE_+_GUT_HEALTH_STRIPS,DIGESTIVE + GUT HEALTH STRIPS (MAXima²),digestive--gut-health-strips-maxima,maxima,MAXima²,BOTTLE,,GL,Gut Microbiome Balance,DIGESTIVE + GUT HEALTH STRIPS,Multi-Strain Probiotic,2 oz (60 g),,
